	Training Loss	Training Accuracy	Testing Accuracy
0	0.5748248133341471	0.8154166666666667	0.8251
1	0.20365704717636107	0.9363666666666667	0.8778
2	0.13668486989339193	0.95675	0.9072
3	0.10192504948377609	0.9686333333333333	0.9157
4	0.08067483142415682	0.9743833333333334	0.9114
5	0.066420681382219	0.9784166666666667	0.9195
6	0.055291725638508794	0.9818666666666667	0.9135
7	0.04655605831841628	0.9849	0.9164
8	0.03993373359243075	0.9865333333333334	0.9318
9	0.03214828691482544	0.9894333333333334	0.9298
10	0.027646164208402237	0.9909166666666667	0.9197
11	0.024724742865934967	0.9916166666666667	0.9222
12	0.021165063093788922	0.99305	0.9322
13	0.021023703750533362	0.99275	0.9258
14	0.017337940162668625	0.9938833333333333	0.9208
15	0.014722014935873448	0.9953166666666666	0.933
16	0.015153934438402454	0.995	0.9346
17	0.012753684779567023	0.9956666666666667	0.9322
18	0.010356241813659047	0.9966166666666667	0.9325
19	0.011164720055119445	0.9960833333333333	0.933
