	Training Loss	Training Accuracy	Testing Accuracy
0	0.7120667249679565	0.7690666666666667	0.7725
1	0.21291736410458884	0.9331833333333334	0.817
2	0.13616700909932455	0.9573833333333334	0.8928
3	0.0995064198732376	0.9691666666666666	0.9012
4	0.07657285568714142	0.9759333333333333	0.9071
5	0.06276875958840052	0.9798	0.9155
6	0.05289333486557007	0.9828833333333333	0.9184
7	0.04220847044189771	0.9857166666666667	0.9172
8	0.036530801473061245	0.9877333333333334	0.9189
9	0.02985092831850052	0.9902833333333333	0.9257
10	0.02438798167606195	0.99175	0.9129
11	0.024387621015310286	0.9918666666666667	0.9286
12	0.018413912952442962	0.99375	0.9286
13	0.015001520431041717	0.9952333333333333	0.9256
14	0.01929980016350746	0.9931833333333333	0.9195
15	0.016400043480594952	0.99465	0.9267
16	0.011945599477970973	0.9960333333333333	0.9307
17	0.0096965221516788	0.9967833333333334	0.9284
18	0.011303917784119646	0.9963166666666666	0.9322
19	0.006904220725533863	0.9975833333333334	0.928
