	Training Loss	Training Accuracy	Testing Accuracy
0	0.7421543685913086	0.7534333333333333	0.8037
1	0.22619875979423523	0.93005	0.8704
2	0.15048781284888585	0.9532333333333334	0.8757
3	0.11379950916369756	0.9640666666666666	0.8956
4	0.09060828616817793	0.9709666666666666	0.903
5	0.0742831238468488	0.9761833333333333	0.9065
6	0.0632214173167944	0.97885	0.9232
7	0.06002633272806803	0.98085	0.9211
8	0.04601180937439203	0.9848833333333333	0.9154
9	0.042477594890693825	0.9858833333333333	0.9241
10	0.03713343741496404	0.9875333333333334	0.9273
11	0.03227771059311926	0.9890666666666666	0.921
12	0.02882977452451984	0.9900166666666667	0.9239
13	0.027125651274248958	0.99075	0.9308
14	0.02497132200114429	0.9915	0.9239
15	0.022906363048156103	0.9922833333333333	0.9323
16	0.017851461764797568	0.9940166666666667	0.9217
17	0.01961999355874335	0.9929833333333333	0.9217
18	0.018744504500584055	0.9940666666666667	0.9065
19	0.016998730172713597	0.9941666666666666	0.9299
