	Training Loss	Training Accuracy	Testing Accuracy
0	0.6052273214658102	0.7982333333333334	0.838
1	0.17752998163700104	0.944	0.8791
2	0.12092317300240199	0.9622166666666667	0.9014
3	0.09264616549611092	0.9703	0.9123
4	0.0740737003326416	0.9761	0.9157
5	0.061428769884506865	0.9800166666666666	0.9081
6	0.0524052499388655	0.98295	0.9245
7	0.0437404080465436	0.9857166666666667	0.9281
8	0.041403519318749506	0.9862166666666666	0.9291
9	0.03150933766514063	0.9890833333333333	0.9322
10	0.026185747128228347	0.9912666666666666	0.9172
11	0.025015064618736507	0.9912833333333333	0.9255
12	0.024014949668447177	0.9921666666666666	0.9268
13	0.020353800234322747	0.9929	0.9315
14	0.019184275711514057	0.99365	0.9308
15	0.016606274089310317	0.9942	0.9328
16	0.013339504808265096	0.9956333333333334	0.9276
17	0.01640815289315457	0.9946166666666667	0.9261
18	0.012228746949601918	0.9957666666666667	0.9352
19	0.011406672850173587	0.9959833333333333	0.9406
