	Training Loss	Training Accuracy	Testing Accuracy
0	1.1391673785527547	0.5952666666666667	0.7553
1	0.2839627579212189	0.9107333333333333	0.849
2	0.179901988975207	0.9447166666666666	0.8794
3	0.1353321737766266	0.95805	0.8835
4	0.111307580246528	0.9652333333333334	0.867
5	0.09415789150396983	0.9702	0.9027
6	0.0794731763770183	0.9742666666666666	0.9098
7	0.06886540401478608	0.9778666666666667	0.9132
8	0.061230207814772925	0.9810333333333333	0.9162
9	0.05552413889716069	0.98165	0.919
10	0.04837348832686742	0.9838666666666667	0.9161
11	0.04267211226373911	0.9857666666666667	0.9142
12	0.04062845791739722	0.9865333333333334	0.9193
13	0.03571317226017515	0.98785	0.9162
14	0.032544294689347344	0.9895333333333334	0.9285
15	0.028162757966667413	0.9907833333333333	0.9204
16	0.026471950439922513	0.9912	0.9216
17	0.025888566842054327	0.9910333333333333	0.9246
18	0.02412444385730972	0.99205	0.9214
19	0.021059829851984978	0.9925666666666667	0.9219
